Date,WaterLevel,Discharge,Rainfall
20/08/2018 9:00,1.561,897,1.2
21/08/2018 9:00,1.488,768,0.2
22/08/2018 9:00,1.479,753,0
23/08/2018 9:00,1.526,839,0
24/08/2018 9:00,1.483,758,0
25/08/2018 9:00,1.429,665,0
26/08/2018 9:00,1.404,625,4
27/08/2018 9:00,1.401,620,0
28/08/2018 9:00,1.385,596,0
29/08/2018 9:00,1.356,552,0
30/08/2018 9:00,1.336,522,0
31/08/2018 9:00,1.322,500,0.4
1/09/2018 9:00,1.353,547,6.8
2/09/2018 9:00,1.487,766,0
3/09/2018 9:00,1.432,670,0
4/09/2018 9:00,1.384,594,0
5/09/2018 9:00,1.357,555,0
6/09/2018 9:00,1.34,528,0
7/09/2018 9:00,1.401,628,23
8/09/2018 9:00,1.946,1599,0
9/09/2018 9:00,1.752,1235,0
10/09/2018 9:00,1.572,916,0
11/09/2018 9:00,1.491,774,0
12/09/2018 9:00,1.452,704,0
13/09/2018 9:00,1.426,660,0
14/09/2018 9:00,1.401,621,0
15/09/2018 9:00,1.379,587,0
16/09/2018 9:00,1.37,573,0.2
17/09/2018 9:00,1.36,558,0.2
18/09/2018 9:00,1.335,520,0
19/09/2018 9:00,1.323,501,0
20/09/2018 9:00,1.312,485,0
21/09/2018 9:00,1.299,465,0
22/09/2018 9:00,1.286,446,0
23/09/2018 9:00,1.277,434,0
24/09/2018 9:00,1.269,422,0
25/09/2018 9:00,1.258,408,0
26/09/2018 9:00,1.251,399,11
27/09/2018 9:00,1.288,449,0
28/09/2018 9:00,1.274,429,0
29/09/2018 9:00,1.252,400,0.8
30/09/2018 9:00,1.238,382,0.2
1/10/2018 9:00,1.228,369,0
2/10/2018 9:00,1.219,359,0
3/10/2018 9:00,1.212,350,0
4/10/2018 9:00,1.231,375,3.2
5/10/2018 9:00,1.267,421,3.2
6/10/2018 9:00,1.239,384,0.2
7/10/2018 9:00,1.215,354,0
8/10/2018 9:00,1.206,344,0
9/10/2018 9:00,1.196,331,0
10/10/2018 9:00,1.191,326,17
11/10/2018 9:00,1.279,438,0
12/10/2018 9:00,1.232,374,0.2
13/10/2018 9:00,1.196,331,0
14/10/2018 9:00,1.182,316,0
15/10/2018 9:00,1.171,304,0
16/10/2018 9:00,1.16,292,0
17/10/2018 9:00,1.16,292,13
18/10/2018 9:00,1.211,350,2.4
19/10/2018 9:00,1.228,370,0
20/10/2018 9:00,1.198,335,0
21/10/2018 9:00,1.215,355,3
22/10/2018 9:00,1.213,352,0
23/10/2018 9:00,1.168,301,0
24/10/2018 9:00,1.14,269,0
25/10/2018 9:00,1.124,250,0
26/10/2018 9:00,1.118,243,0
27/10/2018 9:00,1.107,231,0
28/10/2018 9:00,1.099,223,0
29/10/2018 9:00,1.093,216,0
30/10/2018 9:00,1.086,210,0
31/10/2018 9:00,1.078,202,0
1/11/2018 9:00,1.07,194,0
2/11/2018 9:00,1.062,187,0
3/11/2018 9:00,1.061,187,0
4/11/2018 9:00,1.067,191,0
5/11/2018 9:00,1.064,189,0
6/11/2018 9:00,1.059,185,6.6
7/11/2018 9:00,1.357,611,30
8/11/2018 9:00,1.696,1133,0.6
9/11/2018 9:00,1.494,780,0.2
10/11/2018 9:00,1.308,480,0
11/11/2018 9:00,1.225,366,0
12/11/2018 9:00,1.175,309,0
13/11/2018 9:00,1.143,273,0
14/11/2018 9:00,1.134,262,27
15/11/2018 9:00,1.322,507,2
16/11/2018 9:00,1.35,543,0.2
17/11/2018 9:00,1.226,367,0
18/11/2018 9:00,1.187,322,0
19/11/2018 9:00,1.151,282,0
20/11/2018 9:00,1.124,250,0
21/11/2018 9:00,1.113,237,16
22/11/2018 9:00,1.236,386,6.4
23/11/2018 9:00,1.332,519,15
24/11/2018 9:00,1.579,931,1
25/11/2018 9:00,1.803,1331,1.4
26/11/2018 9:00,1.552,880,0
27/11/2018 9:00,1.417,646,0
28/11/2018 9:00,1.347,538,0
29/11/2018 9:00,1.309,480,0
30/11/2018 9:00,1.28,438,0
1/12/2018 9:00,1.272,427,0
2/12/2018 9:00,1.244,390,2.4
3/12/2018 9:00,1.233,376,0
4/12/2018 9:00,1.22,360,0
5/12/2018 9:00,1.204,341,0
6/12/2018 9:00,1.181,315,0
7/12/2018 9:00,1.162,295,0
8/12/2018 9:00,1.145,274,0
9/12/2018 9:00,1.131,258,0
10/12/2018 9:00,1.127,254,5.4
11/12/2018 9:00,1.155,286,0
12/12/2018 9:00,1.14,269,0
13/12/2018 9:00,1.166,298,17
14/12/2018 9:00,1.327,521,24
15/12/2018 9:00,1.669,1086,5.6
16/12/2018 9:00,1.515,814,0.2
17/12/2018 9:00,1.347,539,0
18/12/2018 9:00,1.266,419,0
19/12/2018 9:00,1.214,353,0
20/12/2018 9:00,1.182,316,0
21/12/2018 9:00,1.162,295,0
22/12/2018 9:00,1.149,279,3
23/12/2018 9:00,1.139,268,0
24/12/2018 9:00,1.122,248,0
25/12/2018 9:00,1.107,232,0
26/12/2018 9:00,1.092,216,0
27/12/2018 9:00,1.076,200,0
28/12/2018 9:00,1.064,189,0
29/12/2018 9:00,1.056,182,0
30/12/2018 9:00,1.051,177,0
31/12/2018 9:00,1.044,172,0
1/01/2019 9:00,1.049,175,1.6
2/01/2019 9:00,1.049,176,0.2
3/01/2019 9:00,1.039,167,0
4/01/2019 9:00,1.026,157,0
5/01/2019 9:00,1.005,141,0.2
6/01/2019 9:00,0.996,134,1.4
7/01/2019 9:00,0.998,136,0
8/01/2019 9:00,0.989,130,0
9/01/2019 9:00,1.006,142,11
10/01/2019 9:00,1.07,195,0
11/01/2019 9:00,1.025,157,0
